Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
2022-2023,Mason McTavish,ANA,C,80,999.1833333,8,16,12,4,24,72.73,98,8.16,11.84,171,133,112,61,6,22,36,17,17,0,0,22,25,25,53,37,34,282,387,42.15,813,1075,43.06,610,849,41.81,441,622,41.49,33,53,38.37,39.76,54.96,41.97,415,551,42.96,184,264,41.07,20,39,33.9,231,287,44.59,9,7,56.25,335,468,41.72,4,7,36.36,7.48,91.48,0.99,144,227,162,759,47.06,248,313,317,43.89
2022-2023,Brock Boeser,VAN,R,74,998.3666667,10,25,13,12,35,66.04,118,8.47,10.18,201,153,124,46,2,11,16,8,8,0,0,7,17,23,46,22,24,14,27,34.15,888,954,48.21,673,730,47.97,493,513,49.01,53,67,44.17,38.68,50.37,43.44,439,530,45.3,168,227,42.53,29,43,40.28,271,303,47.21,15,19,44.12,399,367,52.09,9,5,64.29,10.75,86.94,0.977,143,216,124,830,53.56,303,284,281,51.88
2022-2023,David Kampf,TOR,C,82,997.9333333,7,16,7,9,23,62.16,100,7.0,10.8,153,125,102,53,3,16,8,4,4,0,0,9,26,39,69,131,19,425,331,56.22,835,921,47.55,633,672,48.51,477,479,49.9,37,38,49.33,39.84,41.74,48.83,435,458,48.71,189,203,48.21,22,17,56.41,246,255,49.1,10,17,37.04,352,398,46.93,5,4,55.56,7.76,92.07,0.998,63,208,195,817,24.42,142,295,377,27.36
2022-2023,Jaden Schwartz,SEA,C,71,997.8833333,9,14,8,6,23,65.71,116,7.76,12.09,209,149,125,51,9,16,20,10,10,0,0,6,27,42,53,79,22,24,35,40.68,935,783,54.42,690,575,54.55,492,388,55.91,35,48,42.17,43.06,38.35,52.89,454,396,53.41,178,159,52.82,16,30,34.78,276,237,53.8,14,14,50.0,416,344,54.74,5,4,55.56,7.11,87.63,0.947,185,267,124,687,59.87,314,353,286,52.33
2022-2023,Chris Kreider,NYR,L,79,996.15,19,9,6,3,28,58.33,138,13.77,15.09,227,191,144,89,10,22,16,8,8,0,0,8,25,21,118,51,12,33,36,47.83,942,889,51.45,727,664,52.26,530,471,52.95,48,29,62.34,46.43,41.74,52.66,504,473,51.59,216,197,52.3,27,14,65.85,288,276,51.06,15,5,75.0,391,373,51.18,6,10,37.5,9.06,93.84,1.029,139,254,134,713,50.92,309,376,334,48.06
2022-2023,Tyler Toffoli,CGY,R,82,996.0666667,19,21,8,13,40,68.97,191,9.95,16.82,323,259,172,65,8,26,18,9,9,0,0,13,26,32,52,49,10,5,3,62.5,1150,813,58.58,853,595,58.91,599,410,59.37,58,37,61.05,53.6,36.62,59.41,550,404,57.65,200,158,55.87,31,17,64.58,350,246,58.72,19,19,50.0,518,341,60.3,8,1,88.89,9.68,90.98,1.007,204,256,160,842,56.04,425,368,325,56.67
2022-2023,Elias Lindholm,CGY,C,80,994.2833333,10,25,15,10,35,67.31,100,10.0,11.56,203,148,116,48,2,20,8,4,4,0,0,11,29,31,73,57,37,621,455,57.71,1100,861,56.09,806,646,55.51,559,451,55.35,52,46,53.06,50.19,40.21,55.52,516,437,54.14,192,170,53.04,29,23,55.77,324,267,54.82,16,22,42.11,510,352,59.16,7,1,87.5,9.3,89.8,0.991,190,254,174,819,52.2,414,356,340,54.91
2022-2023,Dillon Dube,CGY,C,82,994.2666667,13,24,12,12,37,72.55,111,11.71,11.83,195,153,134,55,4,16,45,17,15,1,1,18,19,20,115,129,17,26,31,45.61,1066,865,55.2,786,659,54.39,553,479,53.59,51,55,48.11,45.81,45.3,50.28,486,476,50.52,175,205,46.05,26,30,46.43,311,271,53.44,15,21,41.67,504,312,61.76,10,4,71.43,9.22,88.52,0.977,176,240,111,875,61.32,367,342,254,59.1
2022-2023,Reilly Smith,VGK,R,78,988.1,11,23,14,9,34,72.34,111,9.91,11.44,199,155,125,57,7,7,14,7,7,0,0,8,28,27,56,83,20,2,2,50,995,949,51.18,741,678,52.22,536,461,53.76,47,41,53.41,46.12,43.69,51.35,494,460,51.78,196,189,50.91,25,21,54.35,298,271,52.37,15,13,53.57,438,416,51.29,7,7,50.0,8.77,91.11,0.999,172,161,167,755,50.74,360,258,317,53.18
2022-2023,Erik Brannstrom,OTT,D,74,985.8333333,2,11,5,6,13,33.33,62,3.23,2.71,178,96,60,8,3,17,36,18,18,0,0,14,39,24,47,94,76,0,0,-,1048,844,55.39,761,598,56.0,537,437,55.13,39,40,49.37,48.99,37.38,56.72,512,422,54.82,206,178,53.65,22,21,51.16,306,244,55.64,14,13,51.85,433,359,54.67,3,6,33.33,7.26,90.85,0.981,135,186,103,908,56.72,325,304,263,55.27
2022-2023,Logan O'Connor,COL,R,82,985.2166667,7,16,11,5,23,60.53,92,7.61,10.82,182,140,115,61,4,11,37,17,16,1,0,15,20,35,107,136,35,1,6,14.29,819,885,48.06,602,639,48.51,444,476,48.26,38,27,58.46,34.6,37.68,47.87,377,412,47.78,162,182,47.09,21,17,55.26,215,230,48.31,11,8,57.89,390,403,49.18,6,2,75.0,8.56,94.33,1.029,95,209,190,861,33.33,173,295,367,32.04
2022-2023,Shea Theodore,VGK,D,55,983.5166667,5,23,9,14,28,53.85,104,4.81,5.34,222,142,61,12,3,15,18,8,8,0,0,7,21,24,13,58,72,0,0,-,1003,982,50.53,711,685,50.93,529,496,51.61,52,37,58.43,45.34,41.28,52.35,498,477,51.08,208,186,52.79,29,22,56.86,290,291,49.91,18,12,60.0,430,433,49.83,5,3,62.5,9.83,92.54,1.024,145,177,186,680,43.81,331,315,323,50.61
2022-2023,Frederick Gaudreau,MIN,C,82,980.7833333,9,13,8,5,22,61.11,107,8.41,8.51,158,131,86,38,5,17,10,5,5,0,0,8,16,36,41,45,29,357,381,48.37,860,980,46.74,632,695,47.63,450,496,47.57,36,34,51.43,37.22,40.85,47.68,398,438,47.61,155,169,47.84,24,15,61.54,243,269,47.46,5,11,31.25,406,484,45.62,7,8,46.67,8.0,93.15,1.011,182,168,144,642,55.83,323,264,292,52.52
2022-2023,Ethan Bear,VAN,D,61,979.0666667,2,10,5,5,12,29.27,69,2.9,3.44,140,96,35,9,2,12,21,9,8,1,0,8,24,16,37,95,54,0,0,-,839,823,50.48,635,611,50.96,482,431,52.79,41,40,50.62,40.29,39.03,50.8,421,428,49.59,198,178,52.66,25,21,54.35,223,250,47.15,9,13,40.91,362,339,51.64,7,6,53.85,8.51,90.72,0.992,116,197,137,822,45.85,302,301,286,51.36
2022-2023,Alexander Barabanov,S.J,L,68,978.95,12,21,13,8,33,68.75,90,13.33,12.69,163,125,124,70,5,16,16,8,8,0,0,9,31,28,35,89,7,1,2,33.33,898,905,49.81,651,678,48.98,465,484,49.0,48,59,44.86,46.97,44.42,51.39,500,496,50.2,235,196,54.52,30,32,48.39,265,300,46.9,13,22,37.14,471,485,49.27,5,5,50.0,10.32,87.81,0.981,165,248,156,725,51.4,300,354,344,46.58
2022-2023,Ty Dellandrea,DAL,C,82,976.0833333,8,16,9,7,24,57.14,83,9.64,7.94,157,119,102,41,4,11,50,21,19,2,0,23,24,17,119,150,27,91,83,52.3,926,882,51.22,665,664,50.04,469,472,49.84,42,42,50.0,38.44,39.66,49.22,453,430,51.3,170,178,48.85,22,25,46.81,283,252,52.9,10,11,47.62,394,376,51.17,10,6,62.5,8.96,91.1,1.001,147,190,127,866,53.65,299,302,283,51.37
2022-2023,Marcus Johansson,"MIN, WSH",L,80,972.45,11,12,8,4,23,51.11,96,11.46,8.14,167,122,101,38,3,16,8,4,4,0,0,13,24,24,19,89,17,17,19,47.22,986,951,50.9,713,722,49.69,531,527,50.19,45,38,54.22,45.09,40.9,52.44,468,453,50.81,183,171,51.69,24,13,64.86,285,282,50.26,16,13,55.17,451,429,51.25,5,12,29.41,8.47,92.79,1.013,172,205,153,648,52.92,301,282,303,49.83
2022-2023,Colton Sissons,NSH,C,82,972.2833333,9,15,4,11,24,68.57,71,12.68,8.46,145,108,85,43,4,15,18,9,9,0,0,16,21,22,153,67,47,391,302,56.42,848,1037,44.99,631,760,45.36,443,529,45.58,35,41,46.05,39.88,48.69,45.03,403,531,43.15,173,210,45.17,22,19,53.66,230,321,41.74,7,14,33.33,397,443,47.26,6,8,42.86,7.9,92.25,1.002,87,242,191,697,31.29,188,333,363,34.12
2022-2023,Casey Cizikas,NYI,C,81,972.1666667,5,11,7,4,16,57.14,97,5.15,10.67,171,134,103,57,5,18,54,20,17,2,1,18,23,26,181,93,33,418,322,56.49,860,921,48.29,635,648,49.49,446,461,49.17,28,33,45.9,35.66,43.07,45.29,375,452,45.34,165,201,45.08,12,23,34.29,210,251,45.55,11,9,55.0,402,394,50.5,5,1,83.33,6.28,92.84,0.991,102,237,272,819,27.27,173,319,425,28.93
2022-2023,Alexander Kerfoot,TOR,C,82,971.9333333,6,18,10,8,24,58.54,112,5.36,11.6,190,148,126,60,6,11,30,15,15,0,0,16,33,37,50,170,34,40,52,43.48,897,815,52.39,665,593,52.86,484,425,53.25,41,35,53.95,41.63,36.91,53.01,484,406,54.38,201,171,54.03,25,17,59.52,283,235,54.63,8,12,40.0,365,361,50.28,8,6,57.14,8.47,91.76,1.002,105,208,135,820,43.75,193,295,276,41.15
2022-2023,Lucas Raymond,DET,L,74,971.4833333,10,10,5,5,20,60.61,92,10.87,9.65,167,122,108,55,6,10,18,8,8,0,0,22,23,30,39,78,16,3,8,27.27,817,945,46.37,589,707,45.45,431,514,45.61,33,49,40.24,35.18,47.12,42.74,396,516,43.42,162,224,41.97,14,24,36.84,234,292,44.49,14,15,48.28,362,378,48.92,5,10,33.33,7.66,90.47,0.981,143,229,133,708,51.81,250,317,313,44.4
2022-2023,Jared McCann,SEA,L,79,968.9833333,30,18,14,4,48,71.64,139,21.58,11.96,270,196,131,48,5,17,14,7,7,0,0,19,22,40,59,67,18,15,24,38.46,994,818,54.86,736,617,54.4,529,424,55.51,67,44,60.36,43.09,35.94,54.52,469,388,54.73,169,156,52.0,27,26,50.94,300,232,56.39,28,14,66.67,450,380,54.22,11,4,73.33,12.67,89.62,1.023,193,217,127,744,60.31,342,304,273,55.61
2022-2023,Philipp Kurashev,CHI,C,70,966.5,8,11,8,3,19,48.72,96,8.33,8.95,164,122,92,43,3,15,10,5,5,0,0,17,18,33,35,58,29,57,74,43.51,792,1071,42.51,592,833,41.54,423,590,41.76,39,58,40.21,37.07,53.42,40.97,378,561,40.26,166,238,41.09,21,31,40.38,212,323,39.63,14,18,43.75,361,451,44.46,4,9,30.77,9.22,90.17,0.994,137,209,111,644,55.24,273,300,271,50.18
2022-2023,Kent Johnson,CBJ,C,79,964.3,9,15,11,4,24,61.54,93,9.68,8.2,162,123,90,39,3,11,14,7,7,0,0,10,31,25,12,61,26,38,91,29.46,793,987,44.55,572,747,43.37,412,547,42.96,39,48,44.83,33.9,48.21,41.28,387,481,44.59,142,211,40.23,21,26,44.68,245,270,47.57,13,18,41.94,345,442,43.84,5,4,55.56,9.47,91.22,1.007,218,198,98,684,68.99,319,264,216,59.63
2022-2023,Dominik Kubalik,DET,L,81,957.7166667,12,12,9,3,24,55.81,112,10.71,12.96,205,159,123,58,9,17,20,10,10,0,0,15,15,11,85,42,23,10,12,45.45,827,976,45.87,606,702,46.33,452,497,47.63,43,49,46.74,37.54,43.93,46.07,370,486,43.22,145,202,41.79,17,25,40.48,225,284,44.2,17,14,54.84,401,424,48.61,9,10,47.37,9.51,90.14,0.997,152,204,136,740,52.78,267,273,291,47.85
2022-2023,Jimmy Vesey,NYR,L,81,956.25,7,12,6,6,19,46.34,108,6.48,12.83,181,140,116,62,8,16,18,6,4,2,0,11,29,44,98,44,32,3,11,21.43,915,871,51.23,690,631,52.23,499,476,51.18,41,34,54.67,47.71,40.09,54.34,469,419,52.82,228,175,56.58,24,13,64.86,241,244,49.69,12,7,63.16,389,387,50.13,5,14,26.32,8.22,92.86,1.011,110,198,99,745,52.63,277,312,262,51.39
2022-2023,Jack Eichel,VGK,C,67,956.1666667,20,19,10,9,39,69.64,156,12.82,12.29,243,191,123,53,10,14,6,3,3,0,0,15,50,43,58,76,40,305,366,45.45,947,988,48.94,712,679,51.19,543,474,53.39,56,35,61.54,43.95,40.74,51.9,466,486,48.95,204,161,55.89,30,17,63.83,262,325,44.63,20,12,62.5,407,456,47.16,6,6,50.0,10.31,92.62,1.029,181,135,134,693,57.46,348,233,290,54.55
2022-2023,Tyler Seguin,DAL,C,76,955.7833333,10,21,10,11,31,75.61,134,7.46,14.0,220,183,149,66,7,19,20,10,10,0,0,12,22,22,75,41,18,378,308,55.1,981,865,53.14,724,633,53.35,513,459,52.78,41,41,50.0,44.42,37.98,53.91,502,409,55.1,194,181,51.73,21,24,46.67,308,228,57.46,13,12,52.0,423,380,52.68,7,5,58.33,7.99,91.07,0.991,148,189,141,781,51.21,310,297,279,52.63
2022-2023,Barclay Goodrow,NYR,C,82,955.4,10,17,9,8,27,69.23,80,12.5,9.02,140,109,94,51,3,13,54,18,12,6,0,17,29,25,118,99,42,220,246,47.21,820,976,45.66,618,687,47.36,450,491,47.82,39,39,50.0,38.76,45.91,45.78,417,498,45.57,186,206,47.45,30,23,56.6,231,292,44.17,5,7,41.67,351,404,46.49,4,9,30.77,8.67,92.06,1.007,106,167,130,759,44.92,249,283,324,43.46
2022-2023,Joel Eriksson Ek,MIN,C,78,951.6166667,7,26,16,10,33,84.62,146,4.79,13.08,256,202,133,83,12,23,26,13,13,0,0,11,9,34,102,97,30,416,449,48.09,928,924,50.11,698,680,50.65,487,489,49.9,39,31,55.71,41.15,36.2,53.2,428,423,50.29,198,156,55.93,22,14,61.11,230,267,46.28,11,10,52.38,411,440,48.3,6,7,46.15,8.01,93.66,1.017,110,237,180,631,37.93,234,358,362,39.26
2022-2023,Tim Berni,CBJ,D,59,950.8666667,1,2,1,1,3,9.68,58,1.72,3.31,119,73,43,10,4,7,32,16,16,0,0,1,24,19,115,74,60,0,0,-,836,995,45.66,615,735,45.56,442,514,46.23,31,53,36.9,38.65,46.93,45.16,428,508,45.73,174,201,46.4,18,28,39.13,254,307,45.28,8,19,29.63,348,430,44.73,5,6,45.45,7.01,89.69,0.967,108,221,146,721,42.52,240,317,310,43.64
2022-2023,Torey Krug,STL,D,63,949.75,3,12,6,6,15,36.59,102,2.94,4.94,198,142,69,8,3,10,47,14,11,1,2,12,27,17,39,41,78,0,0,-,925,969,48.84,705,736,48.92,519,521,49.9,41,50,45.05,42.06,51.01,45.19,482,539,47.21,173,241,41.79,22,30,42.31,309,298,50.91,15,12,55.56,388,379,50.59,4,8,33.33,7.9,90.4,0.983,229,183,83,852,73.4,464,263,168,73.42
2022-2023,Dylan Cozens,BUF,C,81,949.1833333,21,18,13,5,39,76.47,148,14.19,16.55,231,191,175,75,13,26,29,13,12,1,0,20,12,23,51,78,23,411,421,49.4,913,952,48.95,713,753,48.64,520,564,47.97,51,54,48.57,48.25,48.17,50.04,519,531,49.43,203,230,46.88,24,29,45.28,316,301,51.22,18,19,48.65,365,378,49.13,9,6,60.0,9.81,90.43,1.002,187,231,152,729,55.16,303,298,304,49.92
2022-2023,Christian Fischer,ARI,R,80,948.3833333,11,10,7,3,21,70.0,112,9.82,9.57,187,148,93,41,9,16,18,9,9,0,0,11,27,18,120,85,24,5,28,15.15,720,972,42.55,541,724,42.77,381,535,41.59,30,40,42.86,33.94,45.07,42.96,360,499,41.91,158,204,43.65,24,25,48.98,202,295,40.64,6,10,37.5,305,428,41.61,0,5,0.0,7.87,92.52,1.004,127,231,157,865,44.72,223,325,315,41.45
2022-2023,Joel Edmundson,MTL,D,61,948.15,2,6,1,5,8,22.22,55,3.64,2.22,108,77,17,5,3,9,41,15,13,1,1,11,54,9,97,48,76,0,0,-,779,1035,42.94,566,742,43.27,422,514,45.09,36,71,33.64,35.51,49.62,41.71,373,539,40.9,173,228,43.14,19,41,31.67,200,311,39.14,11,23,32.35,353,443,44.35,6,7,46.15,8.53,86.19,0.947,95,181,129,709,42.41,276,328,306,47.42
2022-2023,Artem Zub,OTT,D,53,944.3666667,1,6,1,5,7,20.0,33,3.03,1.15,97,55,23,2,2,13,34,17,17,0,0,7,30,7,116,106,49,0,0,-,861,862,49.97,636,606,51.21,446,420,51.5,35,34,50.72,40.57,37.11,52.23,421,442,48.78,186,179,50.96,19,16,54.29,235,263,47.19,13,14,48.15,365,360,50.34,3,4,42.86,7.85,91.9,0.998,95,215,141,692,40.25,265,331,332,44.39
2022-2023,Jeremy Lauzon,NSH,D,67,942.8833333,3,7,1,6,10,34.48,74,4.05,3.69,156,108,45,7,1,9,62,24,20,4,0,13,19,1,229,98,40,0,0,-,801,969,45.25,593,717,45.27,410,513,44.42,29,40,42.03,36.29,45.64,44.3,389,494,44.05,158,207,43.29,15,19,44.12,231,287,44.59,8,15,34.78,376,420,47.24,6,6,50.0,7.07,92.2,0.993,82,153,141,826,36.77,183,262,297,38.13
2022-2023,Yakov Trenin,NSH,C,77,942.8166667,9,9,6,3,18,78.26,120,7.5,14.03,230,179,146,60,13,17,43,16,14,1,1,10,38,27,160,73,16,11,20,35.48,836,936,47.18,611,694,46.82,426,508,45.61,23,39,37.1,39.72,42.59,48.26,450,472,48.81,173,178,49.29,13,21,38.24,277,294,48.51,7,11,38.89,335,403,45.39,3,7,30.0,5.4,92.32,0.977,81,222,146,659,35.68,181,296,301,37.55
2022-2023,David Krejci,BOS,C,70,941.0666667,12,28,19,9,40,68.97,75,16.0,8.97,135,110,100,45,4,5,16,8,8,0,0,10,29,14,39,61,24,293,336,46.58,842,925,47.65,640,690,48.12,478,511,48.33,58,34,63.04,39.53,43.73,47.48,458,498,47.91,169,199,45.92,26,18,59.09,289,299,49.15,20,13,60.61,361,382,48.59,12,3,80.0,12.13,93.35,1.055,179,133,103,745,63.48,321,186,223,59.01
2022-2023,Noel Acciari,"STL, TOR",C,77,941.0666667,10,7,3,4,17,68.0,96,10.42,12.46,159,136,130,65,3,16,19,8,7,1,0,15,10,25,238,111,56,290,240,54.72,720,876,45.11,568,605,48.42,410,428,48.93,25,35,41.67,36.98,37.73,49.5,400,413,49.2,168,172,49.41,12,14,46.15,232,241,49.05,12,10,54.55,278,389,41.68,1,11,8.33,6.1,91.82,0.979,70,192,127,775,35.53,171,278,281,37.83
2022-2023,Nick Schmaltz,ARI,C,63,940.7666667,15,23,11,12,38,73.08,84,17.86,8.46,176,131,93,29,7,14,16,8,8,0,0,12,43,52,9,47,23,9,20,31.03,842,848,49.82,648,651,49.88,452,463,49.4,52,45,53.61,41.59,42.37,49.54,443,448,49.72,180,182,49.72,25,25,50.0,263,266,49.72,17,13,56.67,370,353,51.18,10,7,58.82,11.5,90.28,1.018,149,200,155,693,49.01,275,269,296,48.16
2022-2023,Vladimir Tarasenko,"NYR, STL",R,69,940.7166667,12,19,10,9,31,67.39,112,10.71,11.72,203,155,140,49,3,13,8,4,4,0,0,17,22,23,72,62,32,0,2,0,787,979,44.56,603,742,44.83,430,514,45.55,46,45,50.55,38.27,48.88,43.91,447,504,47.0,159,220,41.95,24,31,43.64,288,284,50.35,17,9,65.38,305,421,42.01,5,5,50.0,10.7,91.25,1.019,169,248,116,688,59.3,332,349,294,53.04
2022-2023,Kevin Fiala,L.A,L,69,940.5166667,9,30,19,11,39,76.47,144,6.25,13.4,239,184,149,67,7,22,38,19,19,0,0,19,31,17,47,78,3,8,8,50,946,856,52.5,694,629,52.46,522,441,54.21,51,47,52.04,45.73,40.92,52.78,502,450,52.73,210,180,53.85,28,27,50.91,292,270,51.96,18,12,60.0,523,408,56.18,5,8,38.46,9.77,89.34,0.991,174,186,124,700,58.39,292,265,241,54.78
2022-2023,Blake Wheeler,WPG,R,72,940.3166667,7,25,15,10,32,76.19,94,7.45,11.22,192,145,120,57,4,18,36,18,18,0,0,10,21,41,46,55,25,55,47,53.92,972,845,53.49,705,654,51.88,464,467,49.84,42,35,54.55,43.48,42.91,50.33,504,426,54.19,197,187,51.3,21,21,50.0,307,239,56.23,16,10,61.54,408,363,52.92,5,4,55.56,9.05,92.51,1.016,231,155,117,739,66.38,361,228,249,59.18
2022-2023,Pius Suter,DET,C,79,937.3666667,12,8,5,3,20,64.52,92,13.04,10.34,154,125,101,54,6,17,4,2,2,0,0,7,12,20,34,26,29,197,214,47.93,749,871,46.23,548,603,47.61,394,398,49.75,31,37,45.59,34.31,38.1,47.38,375,433,46.41,153,175,46.65,18,18,50.0,222,258,46.25,11,13,45.83,334,375,47.11,2,6,25.0,7.87,90.7,0.986,150,204,142,682,51.37,246,277,309,44.32
2022-2023,Joe Veleno,DET,C,81,935.2166667,8,7,4,3,15,50.0,76,10.53,6.76,134,95,80,36,4,6,24,12,12,0,0,12,16,26,147,106,36,257,340,43.05,717,886,44.73,531,639,45.38,371,439,45.8,30,41,42.25,29.66,37.79,43.97,322,408,44.11,130,183,41.53,19,22,46.34,192,225,46.04,9,12,42.86,344,400,46.24,2,7,22.22,8.09,90.66,0.987,121,169,91,774,57.08,215,233,237,47.57
2022-2023,Filip Chytil,NYR,C,74,934.7,17,18,13,5,35,72.92,155,10.97,15.08,274,212,173,75,11,16,28,13,13,0,0,15,29,29,35,92,31,219,336,39.46,857,836,50.62,621,619,50.08,455,447,50.44,48,35,57.83,39.98,40.88,49.44,450,427,51.31,182,193,48.53,25,22,53.19,268,234,53.39,12,8,60.0,371,348,51.6,11,5,68.75,10.55,92.17,1.027,92,153,61,713,60.13,248,246,193,56.24
2022-2023,Brandon Saad,STL,L,71,933.4833333,12,14,11,3,26,63.41,98,12.24,11.3,156,134,111,55,5,12,12,6,6,0,0,8,24,30,22,25,24,3,2,60,828,939,46.86,626,708,46.93,457,504,47.55,41,47,46.59,38.78,45.04,46.26,449,481,48.28,167,195,46.13,19,24,44.19,282,286,49.65,20,13,60.61,339,403,45.69,2,10,16.67,8.97,90.67,0.996,118,223,162,656,42.14,248,279,302,45.09
2022-2023,Adam Lowry,WPG,C,82,932.6166667,9,14,7,7,23,69.7,93,9.68,13.49,161,141,120,73,3,22,43,14,9,5,0,12,18,24,150,104,30,456,408,52.78,889,853,51.03,650,640,50.39,454,461,49.62,33,36,47.83,47.28,38.54,55.09,466,398,53.94,223,170,56.74,25,21,54.35,243,228,51.59,6,10,37.5,356,394,47.47,2,5,28.57,7.27,92.19,0.995,110,300,235,726,31.88,181,388,406,30.83
2022-2023,Jack Roslovic,CBJ,C,77,931.3,6,23,15,8,29,72.5,87,6.9,7.24,152,115,87,30,10,14,4,2,2,0,0,14,37,27,37,49,35,325,386,45.71,808,1048,43.53,594,796,42.73,428,558,43.41,40,46,46.51,34.23,49.78,40.74,406,517,43.99,145,223,39.4,23,29,44.23,261,294,47.03,9,13,40.91,358,466,43.45,8,4,66.67,9.35,91.76,1.011,203,162,122,655,62.46,317,233,238,57.12
2022-2023,Erik Johnson,COL,D,63,930.8333333,0,7,4,3,7,19.44,92,0.0,3.69,175,120,53,13,3,14,10,5,5,0,0,0,16,13,104,88,72,0,0,-,876,930,48.5,632,693,47.7,486,517,48.45,36,32,52.94,37.24,41.39,47.36,414,433,48.88,170,188,47.49,21,15,58.33,244,245,49.9,9,11,45.0,409,440,48.17,6,6,50.0,7.41,93.81,1.012,100,214,172,812,36.76,247,314,338,42.22
2022-2023,Roope Hintz,DAL,C,73,929.4833333,21,22,16,6,43,74.14,133,15.79,15.6,219,174,153,80,9,16,26,13,13,0,0,14,28,19,43,69,35,226,202,52.8,1017,841,54.74,727,614,54.21,527,425,55.36,58,32,64.44,50.51,37.67,57.28,547,400,57.76,245,159,60.64,36,21,63.16,302,241,55.62,15,8,65.22,397,373,51.56,7,3,70.0,11.01,92.47,1.035,170,229,106,763,61.59,333,356,264,55.78
2022-2023,Artturi Lehkonen,COL,L,64,927.7166667,10,17,8,9,27,56.25,103,9.71,12.26,194,143,129,69,8,11,18,9,9,0,0,6,8,20,79,124,32,2,2,50,1037,856,54.78,743,652,53.26,554,494,52.86,48,39,55.17,45.66,39.89,53.37,508,420,54.74,209,198,51.35,25,22,53.19,299,222,57.39,17,6,73.91,468,373,55.65,6,11,35.29,8.66,92.11,1.008,176,241,104,666,62.86,378,360,248,60.38
2022-2023,Jack McBain,ARI,C,82,927.35,10,13,8,5,23,74.19,72,13.89,8.9,132,105,97,53,3,11,60,24,20,4,0,14,26,17,293,117,40,300,361,45.39,667,982,40.45,502,721,41.05,368,527,41.12,31,43,41.89,30.81,45.18,40.55,344,512,40.19,143,205,41.09,21,23,47.73,201,307,39.57,9,11,45.0,286,423,40.34,1,9,10.0,8.42,91.84,1.003,103,251,162,852,38.87,200,324,320,38.46
2022-2023,Kyle Okposo,BUF,R,75,926.2666667,6,13,7,6,19,67.86,132,4.55,10.9,208,165,113,50,8,26,30,15,15,0,0,17,19,21,73,79,19,130,141,47.97,828,746,52.6,613,568,51.91,451,416,52.02,28,33,45.9,36.72,35.49,50.85,394,382,50.77,160,171,48.34,20,16,55.56,234,211,52.58,3,15,16.67,378,332,53.24,5,2,71.43,6.21,92.07,0.983,134,253,177,606,43.09,241,318,310,43.74
2022-2023,JJ Peterka,BUF,R,77,924.7166667,10,17,12,5,27,61.36,106,9.43,11.42,209,155,118,58,9,13,24,11,11,0,0,12,16,22,18,63,8,5,4,55.56,855,888,49.05,640,718,47.13,460,531,46.42,44,57,43.56,45.49,47.31,49.02,504,490,50.7,200,213,48.43,19,33,36.54,304,277,52.32,19,19,50.0,321,369,46.52,6,5,54.55,9.57,89.27,0.988,147,218,111,680,56.98,252,278,240,51.22
2022-2023,Brad Marchand,BOS,L,73,924.3,10,22,16,6,32,68.09,121,8.26,12.49,215,164,141,60,6,12,54,27,27,0,0,35,51,33,69,82,14,11,25,30.56,1046,790,56.97,782,603,56.46,573,439,56.62,47,20,70.15,52.14,36.07,59.11,585,400,59.39,243,166,59.41,25,12,67.57,342,234,59.38,18,6,75.0,432,348,55.38,4,2,66.67,8.2,95.44,1.036,284,172,193,641,59.54,483,224,323,59.93
2022-2023,Mason Marchment,DAL,L,68,923.5,8,15,9,6,23,74.19,116,6.9,11.37,210,164,136,48,6,20,60,23,20,2,1,26,36,34,85,103,36,6,10,37.5,893,924,49.15,664,688,49.11,459,506,47.56,31,39,44.29,39.72,40.82,49.31,445,443,50.11,172,184,48.31,16,22,42.11,273,259,51.32,8,11,42.11,381,402,48.66,7,6,53.85,6.75,92.29,0.99,151,184,125,711,54.71,305,266,268,53.23
2022-2023,Sean Walker,L.A,D,70,921.6666667,3,8,5,3,11,27.5,89,3.37,4.18,177,123,49,11,3,12,36,18,18,0,0,7,29,11,63,113,15,0,0,-,976,894,52.19,730,616,54.23,499,422,54.18,40,42,48.78,41.76,37.92,52.41,455,445,50.56,200,168,54.35,22,20,52.38,255,277,47.93,12,14,46.15,548,476,53.52,6,8,42.86,8.02,90.05,0.981,119,163,108,681,52.42,269,246,233,53.59
