Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
2022-2023,Tyler Bertuzzi,"BOS, DET",L,50,653.0,4,15,10,5,19,57.58,87,4.6,8.5,144,116,84,40,2,11,14,7,7,0,0,8,22,12,49,38,20,2,9,18.18,685,616,52.65,522,468,52.73,378,335,53.02,33,34,49.25,32.86,29.62,52.6,359,311,53.58,144,144,50.0,14,21,40.0,215,167,56.28,11,8,57.89,290,268,51.97,8,5,61.54,8.73,89.85,0.986,107,119,71,527,60.11,194,168,181,51.73
2022-2023,Filip Forsberg,NSH,L,50,651.1166667,14,12,8,4,26,72.22,104,13.46,10.83,192,153,107,48,10,23,14,7,7,0,0,15,23,26,81,39,15,0,0,-,650,662,49.54,489,491,49.9,335,339,49.7,36,32,52.94,32.9,31.71,50.92,343,340,50.22,154,141,52.2,22,19,53.66,189,199,48.71,9,10,47.37,282,282,50.0,5,3,62.5,10.75,90.56,1.013,138,148,73,477,65.4,256,227,176,59.26
2022-2023,Zach Bogosian,T.B,D,46,650.75,1,4,3,1,5,20.0,52,1.92,1.81,115,71,30,5,1,8,32,12,11,0,1,4,25,4,110,50,9,1,0,100,644,648,49.85,476,487,49.43,315,364,46.39,25,29,46.3,29.86,30.07,49.83,324,340,48.8,134,139,49.08,17,15,53.13,190,201,48.59,6,10,37.5,353,316,52.77,2,4,33.33,7.94,92.03,1.0,61,123,63,524,49.19,152,186,145,51.18
2022-2023,Pierre-Edouard Bellemare,T.B,L,73,650.7166667,4,7,6,1,11,61.11,45,8.89,4.36,81,69,50,24,2,4,32,9,6,2,1,8,19,21,58,105,5,256,219,53.89,522,581,47.33,402,442,47.63,262,330,44.26,18,29,38.3,22.42,26.88,45.48,231,282,45.03,109,116,48.44,7,16,30.43,122,166,42.36,7,10,41.18,332,330,50.15,4,3,57.14,6.87,91.21,0.981,88,140,82,564,51.76,154,189,165,48.28
2022-2023,Ryan McLeod,EDM,C,57,645.1666667,9,11,8,3,20,74.07,61,14.75,7.82,119,91,83,36,5,8,16,8,8,0,0,6,37,18,38,65,12,237,246,49.07,623,532,53.94,459,413,52.64,324,303,51.67,27,26,50.94,31.25,25.03,55.53,331,257,56.29,151,98,60.64,16,10,61.54,180,159,53.1,5,12,29.41,256,241,51.51,6,4,60.0,8.33,91.42,0.998,111,193,87,493,56.06,182,249,184,49.73
2022-2023,Jacob MacDonald,"COL, S.J",D,58,642.4333333,1,6,3,3,7,41.18,67,1.49,4.37,130,94,51,20,2,14,23,10,9,1,0,7,30,10,65,74,16,0,0,-,600,621,49.14,451,460,49.51,318,343,48.11,17,29,36.96,27.78,27.88,49.92,292,285,50.61,128,120,51.61,9,15,37.5,164,165,49.85,5,12,29.41,321,328,49.46,3,2,60.0,5.35,91.55,0.969,39,99,64,603,37.86,132,165,182,42.04
2022-2023,Danton Heinen,PIT,L,65,642.25,7,13,8,5,20,80.0,87,8.05,9.16,149,113,87,38,5,12,12,6,6,0,0,4,15,22,76,58,25,2,3,40,641,613,51.12,455,447,50.44,339,308,52.4,25,29,46.3,31.33,27.05,53.67,310,285,52.1,135,118,53.36,18,18,50.0,175,167,51.17,4,7,36.36,283,279,50.36,3,4,42.86,7.37,90.58,0.98,66,131,103,603,39.05,136,179,209,39.42
2022-2023,Nikita Zaitsev,"CHI, OTT",D,46,641.9833333,1,6,2,4,7,30.43,17,5.88,0.55,47,32,12,1,1,6,18,9,9,0,0,2,22,5,91,64,51,0,0,-,511,720,41.51,373,536,41.03,257,391,39.66,23,33,41.07,22.27,32.09,40.97,260,361,41.87,101,142,41.56,13,19,40.63,159,219,42.06,6,7,46.15,210,310,40.38,3,7,30.0,8.95,91.56,1.005,60,160,94,569,38.96,158,223,223,41.47
2022-2023,Evander Kane,EDM,L,41,641.9333333,14,7,3,4,21,80.77,126,11.11,11.55,221,165,138,56,6,18,45,21,20,1,0,17,30,9,122,62,9,12,19,38.71,629,606,50.93,458,458,50.0,335,359,48.27,26,32,44.83,29.2,31.46,48.14,338,312,52.0,138,124,52.67,13,16,44.83,200,188,51.55,11,10,52.38,263,258,50.48,2,6,25.0,7.76,91.09,0.988,92,168,72,377,56.1,198,218,197,50.13
2022-2023,Aliaksei Protas,WSH,C,58,641.6666667,4,11,5,6,15,65.22,81,4.94,8.26,135,103,79,42,3,13,12,6,6,0,0,2,20,16,39,52,9,20,42,32.26,635,559,53.18,456,395,53.58,326,272,54.52,23,28,45.1,28.21,23.24,54.83,298,271,52.37,125,101,55.31,14,14,50.0,173,170,50.44,7,9,43.75,272,254,51.71,2,5,28.57,7.06,89.71,0.968,68,147,156,490,30.36,118,198,253,31.81
2022-2023,Tomas Nosek,BOS,L,66,639.7666667,4,10,5,5,14,70.0,56,7.14,5.5,94,78,60,28,4,3,46,16,13,2,1,7,19,12,59,79,22,276,188,59.48,481,589,44.95,375,428,46.7,274,308,47.08,20,14,58.82,23.33,26.37,46.94,259,294,46.84,114,119,48.93,12,9,57.14,145,175,45.31,6,2,75.0,196,263,42.7,2,3,40.0,7.3,95.45,1.028,28,210,175,543,13.79,39,256,272,12.54
2022-2023,Jarred Tinordi,CHI,D,44,639.4833333,2,6,2,4,8,50.0,30,6.67,1.22,75,50,17,3,3,5,31,11,8,3,0,12,18,11,125,64,47,0,0,-,426,637,40.08,319,472,40.33,217,352,38.14,16,35,31.37,18.66,27.5,40.42,200,326,38.02,88,112,44.0,13,16,44.83,112,214,34.36,1,15,6.25,181,285,38.84,2,4,33.33,7.37,90.06,0.974,32,153,116,528,21.62,103,212,231,30.84
2022-2023,Nick Foligno,BOS,L,60,637.45,8,13,10,3,21,63.64,59,13.56,5.84,95,79,61,31,2,10,43,17,14,3,0,17,14,20,145,51,25,25,24,51.02,509,574,47.0,388,413,48.44,294,284,50.87,33,14,70.21,22.89,23.49,49.35,275,270,50.46,119,107,52.65,16,6,72.73,156,163,48.9,11,4,73.33,210,265,44.21,6,4,60.0,11.22,95.07,1.063,35,186,120,542,22.58,53,232,209,20.23
2022-2023,Ryan Johansen,NSH,C,55,633.1333333,6,9,5,4,15,68.18,51,11.76,7.0,91,71,64,35,3,11,32,15,15,0,0,6,17,19,42,41,14,362,236,60.54,644,608,51.44,475,463,50.64,319,334,48.85,22,28,44.0,29.79,29.24,50.46,337,336,50.07,131,132,49.81,14,14,50.0,206,204,50.24,5,13,27.78,274,239,53.41,3,1,75.0,6.9,91.62,0.985,89,158,101,479,46.84,230,210,196,53.99
