Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2022-2023,Garnet Hathaway,"BOS, WSH",R,84,851.2333333,13,8,3,5,21,63.64,81,16.05,9.5,137,109,90,56,5,9,69,26,22,3,1,32,12,10,262,152,53,2,7,22.22
2022-2023,Travis Konecny,PHI,R,60,850.3833333,17,15,11,4,32,86.49,135,12.59,12.5,242,183,141,62,8,19,55,22,20,1,1,30,20,29,43,70,24,18,22,45
2022-2023,Victor Olofsson,BUF,L,75,847.2833333,17,6,5,1,23,67.65,115,14.78,9.15,188,147,98,30,5,9,2,1,1,0,0,10,17,20,15,41,11,0,5,0
2022-2023,Nick Cousins,FLA,C,79,844.8333333,9,18,8,10,27,69.23,102,8.82,9.3,173,134,101,47,6,19,38,16,14,2,0,21,18,20,87,115,30,69,71,49.29
2022-2023,Alexander Edler,L.A,D,64,843.85,2,9,5,4,11,28.21,55,3.64,1.42,151,89,32,2,6,11,32,16,16,0,0,4,24,4,101,102,17,0,0,-
2022-2023,Cody Glass,NSH,C,72,842.9833333,6,14,7,7,20,58.82,93,6.45,9.74,162,126,103,48,4,18,16,8,8,0,0,8,16,30,60,71,28,304,306,49.84
2022-2023,Milan Lucic,CGY,L,77,841.5166667,7,10,8,2,17,54.84,72,9.72,9.33,138,106,86,49,5,12,43,16,13,3,0,6,26,28,166,90,15,17,21,44.74
2022-2023,Max Jones,ANA,L,69,836.6833333,9,10,4,6,19,82.61,100,9,11.61,174,132,113,60,6,23,73,28,24,3,1,29,18,22,109,66,15,10,12,45.45
2022-2023,Keegan Kolesar,VGK,R,74,835.5166667,8,10,10,0,18,58.06,62,12.9,7.71,112,86,77,51,5,9,68,21,14,6,1,20,16,14,279,124,26,7,16,30.43
2022-2023,Mike Hoffman,MTL,L,67,834.5833333,11,9,5,4,20,64.52,99,11.11,9.06,166,130,90,38,6,11,24,12,12,0,0,5,36,19,22,30,17,14,11,56
2022-2023,Jeff Carter,PIT,C,79,833.6333333,7,8,3,5,15,62.5,104,6.73,11.43,188,139,107,54,7,28,26,12,12,0,0,5,24,20,73,71,36,415,279,59.8
2022-2023,Sam Lafferty,"CHI, TOR",C,70,829.75,8,12,7,5,20,76.92,85,9.41,7.89,136,111,84,37,9,10,33,12,9,3,0,15,29,18,117,76,21,184,172,51.69
2022-2023,Andrew Cogliano,COL,C,79,829.7333333,10,7,3,4,17,56.67,73,13.7,6.2,117,92,61,29,5,5,32,16,16,0,0,16,8,19,53,87,39,18,22,45
2022-2023,Sam Steel,MIN,C,65,828.0666667,8,13,5,8,21,56.76,78,10.26,8.95,138,111,102,47,5,16,16,8,8,0,0,4,19,20,45,70,14,266,271,49.53
2022-2023,Tyson Jost,"BUF, MIN",C,71,826.2,5,17,8,9,22,68.75,92,5.43,10.5,164,134,113,53,3,13,24,9,7,2,0,16,7,19,58,120,24,158,224,41.36
